MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9408576								Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9408578													Up, < 0.1	
X9408583					Up, < 0.01		Dn, < 0.1		Up, < 0.1					
X9408584					Dn, < 0.1	Up, < 0.1								
X9408588	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9408591					Dn, < 0.1									
X9408595	Up, < 0.1												Up, < 0.1	
X9408613						Up, < 0.1								
X9408614												Up, < 0.1		
X9408623											Up, < 0.1			
X9408626		Dn, < 0.1				Up, < 0.1							Up, < 0.01	
X9408628		Up, < 0.1	Up, < 0.1	Up, < 0.1	Dn, < 0.1									
X9408629					Up, < 0.01					Up, < 0.01	Up, < 0.1	Up, < 0.1	Dn, < 0.1	
X9408633	Up, < 0.1							Up, < 0.1						
X9408635	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1									
X9408641		Up, < 0.1	Dn, < 0.1	Up, < 0.1									Dn, < 0.1	
X9408646						Up, < 0.1								
X9408648	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X9408649	Up, < 0.01		Up, < 0.1				Up, < 0.1				Dn, < 0.1			
X9408653	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.01									
X9408658								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9408663	Up, < 0.01		Up, < 0.1											
X9408668					Up, < 0.1									
X9408677					Up, < 0.1			Up, < 0.1	Up, < 0.1					
X9408679										Dn, < 0.1		Dn, < 0.1	Dn, < 0.1	
X9408683					Dn, < 0.1						Dn, < 0.1			
X9408686										Dn, < 0.1	Dn, < 0.1		Up, < 0.1	
X9408697					Up, < 0.1									
X9408699					Up, < 0.1									
X9408704	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1										
X9408713					Up, < 0.1									
X9408721					Up, < 0.1	Up, < 0.1	Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.01		Up, < 0.1
X9408722														Dn, < 0.01
X9408723					Dn, < 0.1									Up, < 0.1
X9408731		Dn, < 0.1		Dn, < 0.01										
X9408734	Up, < 0.1		Up, < 0.1											
X9408737						Up, < 0.1								Up, < 0.1
X9408738				Dn, < 0.1		Dn, < 0.1								Dn, < 0.01
X9408741													Dn, < 0.1	
X9408742					Up, < 0.1									
X9408743														Dn, < 0.1
X9408748													Dn, < 0.1	
X9408750														Dn, < 0.1
X9408752												Up, < 0.1		
X9408754														Dn, < 0.1
X9408759			Dn, < 0.1		Up, < 0.1			Up, < 0.1						
X9408768						Dn, < 0.1				Dn, < 0.1		Dn, < 0.1		Dn, < 0.1
X9408769						Up, < 0.1	Up, < 0.1		Dn, < 0.1		Dn, < 0.1		Up, < 0.1	
X9408770								Up, < 0.1						
X9408783			Dn, < 0.1											
X9408795						Up, < 0.1								
X9408801		Up, < 0.1		Up, < 0.1		Up, < 0.1								
X9408804								Up, < 0.1	Up, < 0.1					
X9408808		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9408810								Up, < 0.1					Dn, < 0.1	
X9408815		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1							
X9408816	Dn, < 0.1													
X9408817						Up, < 0.1	Up, < 0.1	Up, < 0.1						
X9408834	Up, < 0.1					Up, < 0.1			Dn, < 0.1				Up, < 0.01	
X9408835						Up, < 0.01							Up, < 0.01	
X9408836	Dn, < 0.1												Dn, < 0.1	
X9408837		Up, < 0.1		Up, < 0.1									Dn, < 0.1	
X9408839				Up, < 0.1							Up, < 0.1			
X9408847					Up, < 0.1								Dn, < 0.1	
X9408849	Up, < 0.1		Up, < 0.1							Up, < 0.1		Up, < 0.1		Up, < 0.1
X9408850		Up, < 0.1		Up, < 0.1	Dn, < 0.1	Up, < 0.01	Up, < 0.01	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		
X9408852						Up, < 0.1		Up, < 0.1				Dn, < 0.1		
X9408857								Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9408858		Up, < 0.1		Up, < 0.1										
X9408863						Up, < 0.1		Up, < 0.1			Dn, < 0.1	Dn, < 0.1		
X9408866	Dn, < 0.1		Dn, < 0.01					Up, < 0.1		Dn, < 0.1		Dn, < 0.01		
X9408877					Up, < 0.1						Up, < 0.1		Dn, < 0.01	Up, < 0.1
X9408882	Up, < 0.1							Dn, < 0.1	Dn, < 0.1			Up, < 0.1		Up, < 0.1
X9408889	Up, < 0.01	Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1							Up, < 0.001	
X9408893							Dn, < 0.1			Up, < 0.1	Up, < 0.01	Up, < 0.1		
X9408900			Dn, < 0.1											
X9408902		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9408909														Dn, < 0.1
X9408912					Dn, < 0.1									
X9408920					Dn, < 0.1			Up, < 0.1				Dn, < 0.1		
X9408924	Up, < 0.1												Up, < 0.1	
X9408928										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9408937														Up, < 0.1
X9408942	Dn, < 0.1		Dn, < 0.1					Up, < 0.1	Up, < 0.1					
X9408954		Dn, < 0.1		Dn, < 0.1										
X9408958										Up, < 0.1	Up, < 0.1			
X9408961										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9408965	Up, < 0.1													
X9408967						Up, < 0.01	Up, < 0.1	Up, < 0.001		Up, < 0.1			Dn, < 0.1	
X9408974	Up, < 0.1				Dn, < 0.1								Up, < 0.1	
X9408975									Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9408993		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9408999			Dn, < 0.1											
X9409011	Up, < 0.1		Up, < 0.1											
X9409014		Up, < 0.01		Up, < 0.01							Dn, < 0.1			Up, < 0.1
X9409024						Dn, < 0.1	Dn, < 0.1							
X9409031			Up, < 0.1											
X9409033					Up, < 0.1		Dn, < 0.1	Up, < 0.1	Up, < 0.01					
X9409038														Dn, < 0.1
X9409040												Dn, < 0.1		
X9409043									Up, < 0.1		Up, < 0.1			
X9409045		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X9409047					Up, < 0.1	Up, < 0.1				Up, < 0.1				
X9409048						Up, < 0.1		Up, < 0.1			Dn, < 0.1	Dn, < 0.1		Up, < 0.1
X9409062								Up, < 0.01	Up, < 0.01				Dn, < 0.1	
X9409065													Up, < 0.1	Dn, < 0.1
X9409072	Up, < 0.1		Up, < 0.1											
X9409075									Up, < 0.1					
X9409077		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9409079		Dn, < 0.1		Dn, < 0.1						Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9409080					Up, < 0.1	Dn, < 0.1							Dn, < 0.1	Dn, < 0.01
X9409081								Dn, < 0.01	Dn, < 0.1			Up, < 0.1		
X9409082		Dn, < 0.1		Dn, < 0.1	Up, < 0.1	Dn, < 0.1							Dn, < 0.1	Dn, < 0.1
X9409083														Dn, < 0.1
X9409085	Dn, < 0.1													
X9409087										Up, < 0.1	Up, < 0.1	Up, < 0.1	Dn, < 0.1	
X9409088					Up, < 0.1		Dn, < 0.1				Up, < 0.1			
X9409091			Up, < 0.1											
X9409094														Dn, < 0.1
X9409095		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1						Dn, < 0.1
X9409098	Up, < 0.1		Up, < 0.1											
X9409099														Dn, < 0.001
X9409102	Up, < 0.1							Dn, < 0.1					Up, < 0.01	
X9409105								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9409109				Up, < 0.1		Up, < 0.1							Up, < 0.1	
X9409110					Dn, < 0.1							Dn, < 0.1		
X9409111		Up, < 0.1		Up, < 0.1										
X9409112													Dn, < 0.1	
X9409113		Up, < 0.1		Up, < 0.1								Up, < 0.1		
X9409116					Up, < 0.1	Dn, < 0.1							Dn, < 0.1	
X9409118	Up, < 0.1		Up, < 0.1											
X9409121								Up, < 0.01	Up, < 0.01			Dn, < 0.01		
X9409126					Dn, < 0.1									
X9409128	Dn, < 0.1	Up, < 0.01	Dn, < 0.01	Up, < 0.01										Up, < 0.1
X9409129					Dn, < 0.1									Up, < 0.1
X9409130		Up, < 0.1		Up, < 0.1			Dn, < 0.1							
X9409132											Dn, < 0.1	Dn, < 0.1		
X9409133					Up, < 0.1	Dn, < 0.1								
X9409137						Dn, < 0.1								
X9409141				Dn, < 0.1										Dn, < 0.01
X9409142		Up, < 0.1		Up, < 0.1	Dn, < 0.1				Up, < 0.1			Dn, < 0.1		
X9409143														Dn, < 0.1
X9409144													Up, < 0.1	
X9409146						Dn, < 0.1	Dn, < 0.01		Up, < 0.1		Up, < 0.1			
X9409150			Up, < 0.1						Up, < 0.1	Up, < 0.1	Up, < 0.1		Dn, < 0.1	Up, < 0.1
X9409151	Dn, < 0.1		Dn, < 0.1			Dn, < 0.1							Dn, < 0.1	
X9409155		Dn, < 0.1	Up, < 0.1	Dn, < 0.1										Dn, < 0.01
X9409159	Dn, < 0.1	Up, < 0.1												Up, < 0.1
X9409160										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9409164	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1		Up, < 0.1							
X9409168														Dn, < 0.1
X9409169	Dn, < 0.1													
X9409170								Up, < 0.1	Up, < 0.01		Up, < 0.1			
X9409172		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1						Dn, < 0.1	
X9409177														Dn, < 0.1
X9409178					Up, < 0.1									
X9409180					Dn, < 0.1									
X9409183	Up, < 0.01		Up, < 0.1											
X9409184					Up, < 0.01			Dn, < 0.1						Dn, < 0.01
X9409187	Up, < 0.1		Up, < 0.1											
X9409188		Up, < 0.1		Up, < 0.01		Up, < 0.1							Up, < 0.1	
X9409189	Up, < 0.1												Up, < 0.1	
X9409192		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.01	Up, < 0.1	
X9409196		Dn, < 0.1		Dn, < 0.1										Dn, < 0.001
X9409200	Up, < 0.01									Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Up, < 0.1	
X9409201	Dn, < 0.1													
X9409202	Up, < 0.1		Up, < 0.1											
X9409204		Dn, < 0.1		Dn, < 0.1										
X9409206													Dn, < 0.1	
X9409208						Dn, < 0.1		Dn, < 0.01				Up, < 0.1		
X9409210	Dn, < 0.1	Up, < 0.01	Dn, < 0.01	Up, < 0.01										Up, < 0.1
X9409211		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9409212					Dn, < 0.1									
X9409215		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1					Up, < 0.1	Up, < 0.1			
X9409216		Up, < 0.1		Up, < 0.1										
X9409217	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01	Up, < 0.1									
X9409218														Dn, < 0.1
X9409219		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9409220								Dn, < 0.1		Up, < 0.1		Up, < 0.01		
X9409223														Dn, < 0.01
X9409224													Dn, < 0.1	Up, < 0.1
X9409226	Up, < 0.1						Dn, < 0.1							
X9409228							Dn, < 0.1		Up, < 0.1		Up, < 0.1		Dn, < 0.1	
X9409230								Up, < 0.1	Up, < 0.1					
X9409231	Up, < 0.01		Up, < 0.1											
X9409233					Dn, < 0.1									
X9409234									Dn, < 0.1		Dn, < 0.1		Up, < 0.1	
X9409236								Dn, < 0.1						
X9409237	Dn, < 0.1		Dn, < 0.1											
X9409238		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1		
X9409245								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9409246	Up, < 0.01													
X9409251		Up, < 0.1		Up, < 0.01									Up, < 0.1	
X9409253					Dn, < 0.1									
X9409255	Up, < 0.1													
X9409256													Up, < 0.1	
X9409257					Up, < 0.1									
X9409259										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9409263			Dn, < 0.1		Dn, < 0.01								Dn, < 0.1	Up, < 0.1
X9409266								Up, < 0.001	Up, < 0.1				Dn, < 0.1	
X9409267		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9409268													Up, < 0.1	
X9409271	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01				Dn, < 0.1						Up, < 0.1
X9409272					Up, < 0.1			Dn, < 0.01	Dn, < 0.01			Up, < 0.1	Up, < 0.001	
X9409273					Dn, < 0.1								Dn, < 0.1	
X9409274								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9409279													Up, < 0.1	
X9409280		Up, < 0.01		Up, < 0.01				Dn, < 0.1				Up, < 0.1		
X9409281	Up, < 0.1													
X9409283		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9409284	Dn, < 0.1	Up, < 0.01		Up, < 0.01							Up, < 0.1			Up, < 0.1
X9409285					Up, < 0.01					Up, < 0.1				
X9409287	Up, < 0.01		Up, < 0.1											
X9409292		Up, < 0.01		Up, < 0.01						Dn, < 0.1				Up, < 0.1
X9409293								Dn, < 0.1	Dn, < 0.1				Up, < 0.01	
X9409296											Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9409298	Dn, < 0.01	Up, < 0.1	Dn, < 0.1	Up, < 0.1										
X9409299										Dn, < 0.1		Dn, < 0.1	Up, < 0.1	
X9409302										Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1
X9409303														Dn, < 0.1
X9409304		Up, < 0.1		Up, < 0.1	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1			Dn, < 0.1				
X9409307		Up, < 0.1		Up, < 0.1	Up, < 0.1									
X9409310	Dn, < 0.01	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1									Dn, < 0.01	
X9409311	Up, < 0.1													
X9409314						Dn, < 0.01	Dn, < 0.1						Dn, < 0.01	
X9409315												Dn, < 0.1		Dn, < 0.1
X9409317								Dn, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.01		
X9409319	Dn, < 0.001		Dn, < 0.01		Up, < 0.1								Dn, < 0.01	
X9409321					Up, < 0.1								Up, < 0.1	
X9409322	Up, < 0.01		Up, < 0.1											
X9409323		Dn, < 0.1		Dn, < 0.1	Up, < 0.1							Up, < 0.1		
X9409325		Up, < 0.1		Up, < 0.01				Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9409327					Dn, < 0.01			Dn, < 0.1				Up, < 0.1		
X9409328								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9409330							Dn, < 0.1				Up, < 0.1			
X9409332					Dn, < 0.1									
X9409333		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9409337	Up, < 0.1						Dn, < 0.1		Up, < 0.1					
X9409338	Up, < 0.1												Up, < 0.1	
X9409341													Up, < 0.1	
X9409342		Up, < 0.1		Up, < 0.1										Up, < 0.01
X9409343														Up, < 0.1
X9409344					Dn, < 0.1	Up, < 0.1	Up, < 0.1		Dn, < 0.1		Dn, < 0.1		Up, < 0.1	
X9409345		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X9409347											Dn, < 0.1			Dn, < 0.1
X9409348	Up, < 0.1												Up, < 0.1	
X9409351		Up, < 0.01		Up, < 0.01				Dn, < 0.1		Dn, < 0.1			Up, < 0.1	Up, < 0.1
X9409353										Up, < 0.1	Up, < 0.1			
X9409354	Dn, < 0.1													
X9409357		Dn, < 0.1		Dn, < 0.1										
X9409361								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9409363								Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9409369								Up, < 0.01		Dn, < 0.1	Dn, < 0.1	Dn, < 0.001		
X9409370	Dn, < 0.1	Up, < 0.1		Up, < 0.1										Up, < 0.1
X9409371					Up, < 0.1		Dn, < 0.1		Up, < 0.1		Up, < 0.1			
X9409372		Up, < 0.1		Up, < 0.1		Dn, < 0.1		Dn, < 0.1		Dn, < 0.01				
X9409375				Dn, < 0.1										Dn, < 0.1
X9409376										Dn, < 0.1	Dn, < 0.1			
X9409379								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9409380	Up, < 0.1												Up, < 0.1	
X9409384				Dn, < 0.1	Dn, < 0.1									Dn, < 0.1
X9409385					Dn, < 0.01								Up, < 0.1	
X9409389	Up, < 0.1										Up, < 0.1			
X9409393					Up, < 0.1	Up, < 0.1								
X9409394	Up, < 0.1													
X9409397					Up, < 0.1									
X9409398								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	Up, < 0.01
X9409399														Dn, < 0.1
X9409401	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9409406					Dn, < 0.1									
X9409409	Dn, < 0.1													
X9409411								Up, < 0.1						
X9409413	Dn, < 0.1		Dn, < 0.1											
X9409414														Dn, < 0.1
X9409415					Up, < 0.1									
X9409417	Dn, < 0.01	Up, < 0.1	Dn, < 0.01		Dn, < 0.1			Up, < 0.1					Dn, < 0.1	
X9409420	Up, < 0.1												Up, < 0.1	
X9409421		Up, < 0.1		Up, < 0.1				Dn, < 0.01				Up, < 0.1	Up, < 0.1	
X9409422					Up, < 0.1					Dn, < 0.1		Dn, < 0.1		
X9409424					Dn, < 0.1									
X9409426		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1				Dn, < 0.1		Dn, < 0.01
X9409429								Dn, < 0.1						
X9409432														Up, < 0.1
X9409433		Up, < 0.1		Up, < 0.1				Dn, < 0.1					Up, < 0.1	Up, < 0.1
X9409434	Up, < 0.1													
X9409437	Up, < 0.1		Up, < 0.1											Dn, < 0.1
X9409438														Dn, < 0.1
X9409444								Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X9409447	Up, < 0.1												Up, < 0.1	
X9409448	Up, < 0.1													
X9409453														Dn, < 0.1
X9409455								Dn, < 0.01				Up, < 0.01		
X9409456		Up, < 0.1		Up, < 0.1								Up, < 0.1	Up, < 0.1	
X9409458						Dn, < 0.1								
X9409460					Dn, < 0.1			Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9409462	Up, < 0.1				Dn, < 0.1									
X9409465		Up, < 0.01	Dn, < 0.1	Up, < 0.01									Up, < 0.1	Up, < 0.1
X9409466						Up, < 0.1								
X9409467	Dn, < 0.1						Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	
X9409471	Dn, < 0.01								Up, < 0.1				Dn, < 0.1	
X9409472													Dn, < 0.1	
X9409480					Up, < 0.1									
X9409486										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9409489	Dn, < 0.01	Up, < 0.01	Dn, < 0.01	Up, < 0.01										Up, < 0.1
X9409491		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X9409492					Dn, < 0.01								Dn, < 0.1	Up, < 0.1
X9409493	Up, < 0.1												Up, < 0.1	
X9409494		Up, < 0.1	Dn, < 0.1	Up, < 0.1										Up, < 0.001
X9409497					Up, < 0.1									
X9409500		Up, < 0.1		Up, < 0.1				Up, < 0.01	Up, < 0.1				Dn, < 0.1	Up, < 0.1
X9409501					Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9409507					Dn, < 0.1									
X9409511	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1							Dn, < 0.1			Up, < 0.1
X9409516	Up, < 0.1		Up, < 0.1											
X9409517					Dn, < 0.01									
X9409518	Dn, < 0.1					Dn, < 0.1								
X9409521	Dn, < 0.1		Dn, < 0.1		Dn, < 0.01									Up, < 0.1
X9409524		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9409530				Up, < 0.1	Dn, < 0.1									Up, < 0.1
X9409534	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9409537	Up, < 0.01		Up, < 0.1											
X9409540										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9409541					Dn, < 0.1			Dn, < 0.01	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9409551		Up, < 0.1		Up, < 0.1				Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9409553	Up, < 0.1				Dn, < 0.1									
X9409559		Up, < 0.01		Up, < 0.01										Up, < 0.1
X9409561							Up, < 0.1							
X9409565									Dn, < 0.1					
X9409566					Up, < 0.01									
X9409568						Dn, < 0.1				Dn, < 0.1				
X9409569						Dn, < 0.1	Dn, < 0.01		Up, < 0.1					
X9409579		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9409580	Dn, < 0.1		Dn, < 0.1										Dn, < 0.1	
X9409581		Up, < 0.1		Up, < 0.1		Up, < 0.1							Up, < 0.1	
X9409584	Dn, < 0.1			Dn, < 0.1	Up, < 0.1									
X9409590					Up, < 0.1					Dn, < 0.1		Dn, < 0.1		
X9409591								Dn, < 0.1						
X9409592	Dn, < 0.1													
X9409596		Dn, < 0.1		Dn, < 0.1						Up, < 0.1	Up, < 0.1			
X9409598		Up, < 0.1		Up, < 0.1	Up, < 0.1									Up, < 0.1
X9409602							Dn, < 0.1				Up, < 0.1			
X9409606							Up, < 0.1		Dn, < 0.1			Up, < 0.1		
X9409610					Up, < 0.01	Dn, < 0.1								
X9409612		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9409614										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9409619		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9409620				Dn, < 0.1										
X9409628														Dn, < 0.1
X9409629												Up, < 0.1		
X9409632													Up, < 0.1	Dn, < 0.1
X9409636			Dn, < 0.1											
X9409639					Up, < 0.1									
X9409641		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	Dn, < 0.001
X9409651								Up, < 0.01	Up, < 0.01				Dn, < 0.01	
X9409665		Up, < 0.1	Dn, < 0.1	Up, < 0.1				Up, < 0.1	Up, < 0.1					
X9409668							Dn, < 0.1		Up, < 0.1				Dn, < 0.1	Up, < 0.1
X9409671				Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X9409672														Dn, < 0.1
X9409673		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9409683									Up, < 0.1			Dn, < 0.1		
X9409685										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9409687		Up, < 0.1		Up, < 0.1										
X9409694				Dn, < 0.1										Dn, < 0.01
X9409695	Dn, < 0.001		Dn, < 0.01										Dn, < 0.1	
X9409700								Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9409703		Up, < 0.1		Up, < 0.1			Up, < 0.1	Dn, < 0.1	Dn, < 0.01			Up, < 0.1		
X9409705		Up, < 0.1		Up, < 0.1										
X9409712	Dn, < 0.1		Dn, < 0.1											
X9409714	Dn, < 0.001		Dn, < 0.001		Up, < 0.1								Dn, < 0.1	
X9409715					Up, < 0.1							Dn, < 0.1		
X9409717								Dn, < 0.01		Up, < 0.1	Up, < 0.1	Up, < 0.001	Up, < 0.1	
X9409718					Up, < 0.1									Dn, < 0.01
X9409721		Up, < 0.1		Up, < 0.1	Dn, < 0.1					Dn, < 0.1				
X9409724													Dn, < 0.1	Dn, < 0.1
X9409728													Dn, < 0.1	Up, < 0.1
X9409736													Dn, < 0.1	Dn, < 0.1
X9409743	Up, < 0.1					Up, < 0.1							Up, < 0.01	
X9409749														Dn, < 0.1
X9409750						Dn, < 0.1							Dn, < 0.1	
X9409751	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01										
X9409755										Dn, < 0.1		Dn, < 0.1		
X9409756						Dn, < 0.01							Dn, < 0.1	Dn, < 0.1
X9409763					Dn, < 0.1									
X9409767					Up, < 0.1								Dn, < 0.1	
X9409769					Dn, < 0.1			Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9409777		Dn, < 0.1			Up, < 0.1	Dn, < 0.1								
X9409780		Up, < 0.1		Up, < 0.1		Up, < 0.1							Up, < 0.1	
X9409783								Dn, < 0.1						
X9409789					Up, < 0.1		Dn, < 0.1		Up, < 0.1					
X9409790	Up, < 0.1		Up, < 0.01			Dn, < 0.1	Dn, < 0.1							
X9409791		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X9409793					Up, < 0.1									Dn, < 0.1
X9409798											Up, < 0.1			
X9409804					Dn, < 0.1								Up, < 0.1	
X9409806						Up, < 0.1							Up, < 0.1	
X9409807						Dn, < 0.1	Dn, < 0.1		Up, < 0.1				Dn, < 0.01	
X9409808					Up, < 0.1	Dn, < 0.1				Dn, < 0.1				Dn, < 0.1
X9409827						Dn, < 0.1								
X9409835	Dn, < 0.1		Dn, < 0.1		Up, < 0.1									
X9409840	Up, < 0.1						Dn, < 0.1							
X9409841	Up, < 0.1					Up, < 0.1	Up, < 0.1				Dn, < 0.1		Up, < 0.1	Up, < 0.1
X9409842		Up, < 0.01		Up, < 0.01										Up, < 0.01
X9409848						Dn, < 0.1								Dn, < 0.1
X9409865												Up, < 0.1		
X9409869					Up, < 0.1									
X9409871					Up, < 0.1	Dn, < 0.1								
X9409875								Up, < 0.1						
X9409876					Up, < 0.1			Up, < 0.1						
X9409877					Up, < 0.1		Dn, < 0.1							Up, < 0.1
X9409884									Up, < 0.1				Dn, < 0.1	
X9409888						Dn, < 0.1								
X9409890								Dn, < 0.1						
X9409892					Dn, < 0.1									
X9409896					Dn, < 0.1					Up, < 0.1		Up, < 0.1		
X9409910					Up, < 0.1									Dn, < 0.1
X9409913					Up, < 0.1									
X9409914	Dn, < 0.1				Up, < 0.01									Dn, < 0.1
X9409915											Dn, < 0.1			
X9409916		Up, < 0.1	Dn, < 0.1	Up, < 0.1										
X9409917	Up, < 0.01		Up, < 0.1											
X9409918					Up, < 0.1	Dn, < 0.1	Dn, < 0.1						Dn, < 0.01	
X9409922					Up, < 0.1	Up, < 0.1		Up, < 0.1						
X9409923														Dn, < 0.1
X9409926	Up, < 0.001		Up, < 0.01										Up, < 0.01	
X9409933								Up, < 0.001	Up, < 0.1			Dn, < 0.1		
X9409934								Dn, < 0.1	Dn, < 0.1					Dn, < 0.1
X9409935								Up, < 0.1	Up, < 0.1	Up, < 0.1	Up, < 0.1		Dn, < 0.1	
X9409942	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X9409944	Up, < 0.1							Up, < 0.1						
X9409945	Up, < 0.01		Up, < 0.1											
X9409949					Up, < 0.1						Up, < 0.1			
X9409951	Up, < 0.01		Up, < 0.1											Dn, < 0.1
X9409953		Dn, < 0.1		Dn, < 0.1	Up, < 0.1					Up, < 0.1				
X9409954					Dn, < 0.1									Up, < 0.1
X9409956													Dn, < 0.1	
X9409958									Up, < 0.1		Up, < 0.1			
X9409964				Dn, < 0.1	Up, < 0.01									Dn, < 0.01
X9409966					Up, < 0.01	Dn, < 0.1	Dn, < 0.1							Dn, < 0.01
X9409967					Up, < 0.1	Dn, < 0.1							Dn, < 0.1	Dn, < 0.01
X9409969	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1	Up, < 0.1	Up, < 0.1							
X9409974														Up, < 0.01
X9409977		Up, < 0.1		Up, < 0.1		Up, < 0.1								Up, < 0.01
