Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1188	0.684	0.526	0.235
1190	0.002	0	0.004
1191	0.235	0.418	0.402
1192	0.192	0.218	0.846
1193	0.135	0.072	0.469
1194	0.467	0.482	0.104
1196	0.322	0.64	0.044
1197	0.023	0.002	0.35
1198	0.402	0.363	0.713
1199	0.776	0.818	0.139
1200	0.23	0.239	0.902
1201	0.712	0.306	0.218
1202	0.701	0.51	0.972
1203	0.097	0.447	0.202
1204	0.257	0.086	0.81
1205	0.86	0.652	0.792
1206	0.279	0.139	0.152
1207	0.753	0.565	0.524
1208	0.08	0.292	0.399
1209	0.728	0.36	0.085
1210	0.992	0.723	0.192
1211	0.445	0.108	0.351
1212	0.403	0.643	0.278
1213	0.01	0.002	0.982
1214	0.499	0.991	0.156
1215	0.817	0.13	0.525
1216	0.251	0.829	0.571
1217	0.671	0.426	0.558
1218	0.285	0.985	0.079
1219	0.06	0.053	0.181
1220	0.835	0.543	0.238
1221	0.323	0.588	0.784
1222	0.048	0.087	0.698
1223	0.491	0.038	0.071
1224	0.238	0.032	0.465
1225	0.74	0.997	0.164
1226	0.373	0.364	0.255
1227	0.799	0.874	0.083
1228	0.899	0.7	0.446
1229	0.767	0.366	0.719
1230	0.693	0.397	0.119
1231	0.776	0.454	0.932
1232	0.538	0.184	0.924
1233	0.124	0.007	0.833
1234	0.184	0.614	0.018
1235	0.417	0.262	0.602
1236	0.871	0.865	0.273
1237	0.96	0.263	0.351
1239	0.29	0.191	0.757
1240	0.012	0.02	0.258
1242	0.09	0.191	0.568
1243	0.748	0.766	0.494
1244	0.429	0.486	0.002
1245	0.121	0.391	0.541
1246	0.74	0.095	0.262
1247	0.377	0.511	0.379
1248	0.886	0.825	0.336
1249	0.72	0.772	0.861
1250	0.027	0.033	0.733
1251	0.192	0.178	0.495
1252	0.857	0.941	0.117
1253	0.035	0.054	0.224
1254	0.257	0.609	0.184
1255	0.592	0.72	0.277
1256	0.238	0.245	0.784
1257	0.149	0.287	0.466
1258	0.515	0.138	0.639
1259	0.9	0.901	0.469
1261	0.869	0.641	0.943
1262	0.747	0.193	0.706
1263	0.033	0.16	0.627
1264	0.731	0.565	0.09
1265	0.246	0.167	0.408
1266	0.927	0.489	0.703
1267	0.304	0.318	0.724
1268	0.019	0.192	0.964
1270	0.771	0.698	0.837
1271	0.199	0.36	0.487
1272	0.886	0.489	0.233
1273	0.535	0.919	0.001
1274	0.312	0.865	0.054
1275	0.795	0.899	0.661
1278	0.491	0.716	0.529
1279	0.225	0.716	0.468
1280	0.859	0.302	0.869
1281	0.545	0.812	0.288
1282	0.195	0.031	0.229
1283	0.832	0.526	0.8
1284	0.256	0.827	0.993
1285	0.414	0.623	0.057
1286	0.544	0.704	0.995
1289	0.016	0.003	0.678
1290	0.509	0.73	0.703
1291	0.069	0.178	0.211
1292	0.906	0.327	0.328
1293	0.93	0.69	0.084
1295	0.149	0.176	0.498
1296	0.101	0.137	0.565
1297	0.548	0.412	0.889
1298	0.774	0.636	0.626
1299	0.958	0.265	0.547
1300	0.867	0.998	0.59
1301	0.96	0.911	0.587
1302	0.765	0.409	0.68
1303	0.863	0.297	0.503
1304	0.318	0.36	0.614
1305	0.319	0.123	0.435
1307	0.251	0.08	0.671
1309	0.669	0.482	0.844
1310	0.499	0.779	0.466
1311	0.094	0.29	0.55
1312	0.805	0.848	0.605
1313	0.56	0.934	0.411
1314	0.957	0.996	0.435
1316	0.778	0.257	0.583
1317	0.173	0.227	0.169
1318	0.777	0.324	0.86
1320	0.877	0.42	0.027
1321	0.211	0.208	0.429
1322	0.071	0.029	0.737
1323	0.669	0.605	0.838
1324	0.568	0.93	0.041
1325	0.617	0.94	0.037
1326	0.427	0.283	0.543
1327	0	0	0.006
1328	0.903	0.719	0.76
1330	0.394	0.502	0.78
1331	0.648	0.837	0.913
1333	0.781	0.186	0.89
1334	0.153	0.036	0.287
1335	0.944	0.448	0.733
1336	0.147	0.396	0.769
1337	0.12	0.068	0.99
1338	0.052	0.03	0.545
1339	0.788	0.144	0.433
1342	0.777	0.54	0.961
1343	0.087	0.197	0.981
1344	0.038	0.006	0.588
1345	0.142	0.379	0.139
1348	0.966	0.616	0.143
1350	0.011	0.002	0.44
1351	0.865	0.395	0.789
1353	0.32	0.302	0.9
1355	0.841	0.932	0.485
1356	0.706	0.221	0.071
1357	0.019	0.012	0.914
1358	0.123	0.062	0.05
1359	0.509	0.213	0.636
1361	0.405	0.892	0.759
1362	0.181	0.034	0.311
1363	0.775	0.64	0.047
1364	0.373	0.782	0.171
1367	0.604	0.498	0.738
1368	0.13	0.3	0.028
1369	0.607	0.465	0.187
1371	0.8	0.332	0.688
1372	0.667	0.47	0.2
1373	0.094	0.31	0.308
1374	0.554	0.332	0.434
1375	0.429	0.551	0.646
1377	0.007	0.038	0.167
1378	0.853	0.336	0.96
1379	0.795	0.697	0.928
1380	0.097	0.333	0.756
1381	0.059	0.03	0.427
