Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
2365	0.753	0.225	0.497
2366	0.161	0.828	0.517
2367	0.473	0.203	0.807
2368	0.396	0.28	0.062
2369	0.443	0.219	0.116
2370	0.205	0.116	0.643
2371	0.884	0.302	0.622
2372	0.363	0.216	0.39
2373	0.724	0.817	0.109
2374	0.35	0.03	0.289
2375	0.432	0.461	0.029
2376	0.724	0.137	0.669
2378	0.604	0.468	0.816
2379	0.821	0.677	0.267
2380	0.208	0.124	0.037
2381	0.993	0.269	0.698
2384	0.615	0.589	0.127
2385	0.288	0.408	0.147
2386	0.538	0.47	0.023
2387	0.605	0.621	0.608
2388	0.624	0.926	0.04
2389	0.386	0.145	0.178
2390	0.11	0.123	0.382
2391	0.308	0.208	0.201
2392	0.947	0.848	0.411
2393	0.694	0.957	0.865
2395	0.708	0.495	0.007
2396	0.33	0.49	0.192
2397	0.854	0.626	0.273
2398	0.498	0.189	0.179
2399	0.685	0.832	0.636
2400	0.614	0.525	0.001
2401	0.756	0.852	0.758
2402	0.068	0.199	0.009
2403	0.022	0.008	0.311
2404	0.666	0.495	0.943
2405	0.452	0.046	0.379
2406	0.613	0.237	0.944
2407	0.439	0.438	0.039
2408	0.523	0.833	0.123
2409	0.898	0.602	0.607
2410	0.249	0.352	0.027
2411	0.588	0.26	0.565
2412	0.761	0.394	0.691
2413	0.322	0.411	0.041
2414	0.021	0.004	0.151
2415	0.757	0.258	0.327
2416	0.518	0.617	0.287
2417	0.161	0.052	0.008
2419	0.021	0.048	0.104
2420	0.288	0.62	0.235
2421	0.566	0.682	0.525
2422	0.247	0.335	0.534
2423	0.479	0.521	0.009
2425	0.303	0.544	0.404
2426	0.143	0.026	0.2
2427	0.454	0.259	0.057
2428	0.209	0.049	0.161
2429	0.932	0.298	0.605
2430	0.588	0.752	0.558
2431	0.87	0.491	0.252
2432	0.096	0.11	0.238
2433	0.34	0.387	0.03
2434	0.585	0.1	0.419
2435	0.995	0.752	0.831
2436	0.136	0.153	0.67
2437	0.92	0.96	0.025
2438	0.971	0.113	0.411
2439	0.919	0.6	0.434
2440	0.938	0.997	0.93
2441	0.189	0.465	0.129
2442	0.872	0.569	0.374
2443	0.256	0.729	0.036
2444	0.31	0.074	0.349
2445	0.782	0.302	0.39
2446	0.04	0.362	0
2448	0.745	0.55	0.988
2449	0.155	0.058	0.033
