Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
4493			Dn, < 0.1
4497			Up, < 0.1
4499	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
4501			Up, < 0.1
4507			Up, < 0.1
4508			Up, < 0.1
4511			Up, < 0.1
4517	Dn, < 0.1	Dn, < 0.1	
4519			Dn, < 0.1
4522			Up, < 0.1
4528			Up, < 0.1
4536			Up, < 0.1
4542		Up, < 0.1	Dn, < 0.1
4543			Dn, < 0.1
4548	Up, < 0.1	Up, < 0.01	Dn, < 0.01
4550	Up, < 0.1	Up, < 0.1	Dn, < 0.01
4551	Up, < 0.1	Up, < 0.1	
4552			Dn, < 0.1
4553		Up, < 0.1	
4556			Dn, < 0.1
4558			Dn, < 0.001
4570	Dn, < 0.1		Up, < 0.1
4579			Dn, < 0.1
4583		Dn, < 0.1	
4594		Dn, < 0.1	
4597			Up, < 0.1
4606	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
4610	Dn, < 0.1		
4611	Up, < 0.1		
4622			Dn, < 0.1
4625		Up, < 0.1	
4638			Dn, < 0.01
4644			Dn, < 0.1
4646			Up, < 0.1
